Number of clicks on similar products,Number of similar products purchased so far,Average rating given to similar products,Gender,Median purchasing price (in rupees),Rating of the product,Brand of the product,Customer review sentiment score (overall),Price of the product,Holiday,Season,Geographical locations,Probability for the product to be recommended to the person
0.21818181818181817,0.16666666666666666,0.8400000000000001,male,0.021164021164021163,0.9,PUMA,0.9,0.011099899091826439,No,winter,plains,0.9
0.14545454545454545,0.08333333333333333,0.76,female,0.15343915343915343,0.64,Lee,0.3,0.02119071644803229,Yes,monsoon,mountains,0.2
0.45454545454545453,0.4166666666666667,0.9,female,0.026455026455026454,0.96,Head Hunters,0.8,0.09182643794147326,No,spring,plains,0.7
0.10909090909090909,0.041666666666666664,0.42000000000000004,female,0.0,0.5,Johnson & Johnson,0.55,0.02119071644803229,No,summer,coastal,0.1
0.32727272727272727,0.20833333333333334,0.9400000000000001,male,0.10052910052910052,0.86,Wakefit,0.95,0.0615539858728557,Yes,winter,plains,0.8
0.0,0.0,0.0,male,0.047619047619047616,0.0,Dabur Chyawanprash,0.15000000000000002,0.09182643794147326,No,winter,mountains,0.0
0.6909090909090909,0.625,0.9800000000000001,female,0.031746031746031744,0.9800000000000001,Manyavar Mohey,0.975,0.0615539858728557,No,summer,plains,1.0
0.12727272727272726,0.125,0.6799999999999999,male,0.25925925925925924,0.74,Pepperfry,0.6,0.08173562058526741,No,winter,coastal,0.3
0.07272727272727272,0.0,0.3,male,0.042328042328042326,0.36,Lee Cooper,0.35,0.03128153380423814,No,monsoon,mountains,0.05
0.18181818181818182,0.16666666666666666,0.78,female,0.010582010582010581,0.82,Libram,0.85,0.011099899091826439,Yes,spring,plains,0.6
0.7636363636363637,0.75,0.9199999999999999,male,0.010582010582010581,0.9400000000000001,Flying Machine,0.925,0.05146316851664985,No,summer,plains,0.95
0.36363636363636365,0.3333333333333333,0.86,female,0.047619047619047616,0.8800000000000001,SleepyCat,0.875,0.09182643794147326,Yes,summer,coastal,0.85
0.09090909090909091,0.08333333333333333,0.5599999999999999,male,0.41798941798941797,0.6,Streax,0.25,0.04137235116044399,Yes,summer,plains,0.1
0.5636363636363636,0.5,0.96,female,0.015873015873015872,0.9199999999999999,Lakme Ayurveda,0.925,0.05146316851664985,No,winter,plains,0.9
0.03636363636363636,0.041666666666666664,0.4,male,0.20634920634920634,0.44000000000000006,Forest Essentials,0.4,0.011099899091826439,Yes,summer,mountains,0.05
0.3090909090909091,0.2916666666666667,0.82,female,0.042328042328042326,0.8400000000000001,Dove Hair,0.9,0.0010090817356205853,Yes,winter,plains,0.7
0.2545454545454545,0.25,0.72,male,0.005291005291005291,0.6799999999999999,Pepe Jeans London,0.65,0.08173562058526741,No,summer,plains,0.4
0.16363636363636364,0.125,0.6599999999999999,female,0.10052910052910052,0.7,The Moms Co.,0.7,0.07164480322906155,No,winter,plains,0.5
0.41818181818181815,0.375,0.8,male,0.31216931216931215,0.8400000000000001,Himalaya Liv.52,0.95,0.05146316851664985,Yes,winter,mountains,0.9
0.05454545454545454,0.041666666666666664,0.33999999999999997,male,0.021164021164021163,0.4,Wildcraft,0.45,0.0615539858728557,No,monsoon,mountains,0.05
0.509090909090909,0.4583333333333333,0.9,female,0.36507936507936506,0.9,Godrej Interio,0.95,1.0,Yes,winter,mountains,1.0
0.2909090909090909,0.25,0.74,male,0.031746031746031744,0.76,Patanjali Ayurved (Health Care),0.8,0.02119071644803229,No,monsoon,mountains,0.6
0.2,0.20833333333333334,0.8400000000000001,female,0.0,0.86,Lijoba,0.925,0.011099899091826439,Yes,spring,plains,0.8
0.6545454545454545,0.5833333333333334,0.9400000000000001,male,0.0,0.9199999999999999,Moov,0.85,0.08173562058526741,No,summer,plains,0.85
0.34545454545454546,0.3333333333333333,0.8800000000000001,female,0.20634920634920634,0.9,Kama Ayurveda,0.9,0.07164480322906155,No,summer,coastal,0.9
0.4,0.375,0.9199999999999999,female,0.15343915343915343,0.9400000000000001,Urban Ladder,0.925,0.07164480322906155,No,winter,plains,0.9
0.23636363636363636,0.20833333333333334,0.7,male,0.037037037037037035,0.72,Allen Solly Woman,0.8,0.03128153380423814,Yes,winter,plains,0.7
0.14545454545454545,0.125,0.58,female,0.005291005291005291,0.6,Lee Cooper,0.55,0.02119071644803229,No,summer,mountains,0.05
0.4909090909090909,0.4583333333333333,0.8800000000000001,male,0.047619047619047616,0.9,SleepyCat,0.9,0.09182643794147326,Yes,winter,coastal,0.85
0.10909090909090909,0.08333333333333333,0.5,male,0.25925925925925924,0.54,Moov,0.35,0.04137235116044399,No,summer,mountains,0.1
0.7090909090909091,0.6666666666666666,0.96,female,0.10052910052910052,0.96,Wildcraft,0.95,0.07164480322906155,No,summer,plains,0.95
0.07272727272727272,0.041666666666666664,0.36,female,0.042328042328042326,0.4,Johnson & Johnson,0.4,0.03128153380423814,No,monsoon,coastal,0.05
0.34545454545454546,0.2916666666666667,0.8400000000000001,male,0.031746031746031744,0.86,PUMA,0.85,0.011099899091826439,No,winter,plains,0.8
0.16363636363636364,0.16666666666666666,0.62,female,0.31216931216931215,0.6599999999999999,Pepperfry,0.65,0.08173562058526741,Yes,winter,coastal,0.4
0.5818181818181818,0.5416666666666666,0.9400000000000001,male,0.0,0.96,Manyavar Mohey,0.95,0.0615539858728557,No,summer,plains,0.9
0.2545454545454545,0.25,0.72,female,0.021164021164021163,0.76,Max,0.75,0.02119071644803229,No,winter,plains,0.6
0.12727272727272726,0.08333333333333333,0.45999999999999996,male,0.10052910052910052,0.5,Wakefit,0.45,0.0615539858728557,Yes,summer,mountains,0.05
0.32727272727272727,0.3333333333333333,0.8,male,0.010582010582010581,0.8400000000000001,Lakme Ayurveda,0.9,0.0010090817356205853,No,winter,plains,0.9
0.41818181818181815,0.4166666666666667,0.9,female,0.20634920634920634,0.9199999999999999,Streax,0.95,0.0010090817356205853,Yes,summer,coastal,1.0
0.2,0.125,0.5599999999999999,male,0.026455026455026454,0.6,Flying Machine,0.6,0.03128153380423814,No,monsoon,mountains,0.1
0.4727272727272727,0.4583333333333333,0.8400000000000001,female,0.0,0.8800000000000001,Lee,0.9,0.02119071644803229,No,winter,plains,0.9
0.3090909090909091,0.2916666666666667,0.78,male,0.25925925925925924,0.8,Head & Shoulders,0.85,0.08173562058526741,Yes,winter,plains,0.8
0.21818181818181817,0.20833333333333334,0.64,female,0.10052910052910052,0.6599999999999999,Fastrack,0.7,0.05146316851664985,Yes,winter,plains,0.5
0.09090909090909091,0.041666666666666664,0.38,male,0.042328042328042326,0.4,Sugar Cosmetics,0.35,0.03128153380423814,No,monsoon,mountains,0.05
0.5636363636363636,0.5,0.86,female,0.36507936507936506,0.9,Manyavar Mohey,0.95,1.0,Yes,winter,mountains,1.0
0.18181818181818182,0.16666666666666666,0.6,male,0.010582010582010581,0.64,Kama Ayurveda,0.55,0.0010090817356205853,No,summer,coastal,0.1
0.36363636363636365,0.375,0.86,female,0.026455026455026454,0.9,Johnson & Johnson,0.85,0.011099899091826439,No,winter,plains,0.8
0.2909090909090909,0.25,0.74,male,0.20634920634920634,0.76,Pepperfry,0.8,0.07164480322906155,Yes,summer,mountains,0.8
0.5272727272727272,0.5,0.9199999999999999,female,0.021164021164021163,0.9400000000000001,Parachute,0.95,0.0615539858728557,No,winter,plains,0.95
0.43636363636363634,0.4166666666666667,0.8800000000000001,male,0.005291005291005291,0.9,Lee Cooper,0.9,0.02119071644803229,No,summer,mountains,0.9
0.14545454545454545,0.125,0.64,female,0.20634920634920634,0.6799999999999999,Wildcraft,0.7,0.08173562058526741,Yes,winter,plains,0.5
0.38181818181818183,0.375,0.82,male,0.021164021164021163,0.86,Sugar Cosmetics,0.9,0.011099899091826439,No,summer,coastal,0.9
0.09090909090909091,0.08333333333333333,0.52,male,0.031746031746031744,0.5599999999999999,Lakme Ayurveda,0.4,0.04137235116044399,No,winter,plains,0.05
0.3090909090909091,0.2916666666666667,0.78,female,0.15343915343915343,0.8,Max,0.85,0.05146316851664985,Yes,summer,plains,0.8
0.2,0.16666666666666666,0.62,male,0.005291005291005291,0.64,Lijoba,0.55,0.0010090817356205853,No,monsoon,plains,0.1
0.509090909090909,0.5416666666666666,0.9,female,0.10052910052910052,0.9199999999999999,Godrej Interio,0.925,0.09182643794147326,No,winter,plains,0.9
0.23636363636363636,0.20833333333333334,0.6799999999999999,male,0.41798941798941797,0.7,SleepyCat,0.85,0.08173562058526741,No,summer,coastal,0.8
0.16363636363636364,0.16666666666666666,0.58,female,0.20634920634920634,0.6,Dettol,0.4,0.04137235116044399,Yes,winter,plains,0.05
0.6545454545454545,0.625,0.9400000000000001,male,0.010582010582010581,0.96,Moov,0.95,0.07164480322906155,No,summer,plains,1.0
0.12727272727272726,0.08333333333333333,0.5,female,0.047619047619047616,0.54,The Moms Co.,0.5,0.011099899091826439,Yes,summer,coastal,0.1
0.36363636363636365,0.3333333333333333,0.86,male,0.021164021164021163,0.9,Max,0.9,0.02119071644803229,No,winter,plains,0.9
